Código,Descripción,Descripción 2
,SUBGRUPO DE PRODUCTOS," "
501,"SERVICIO DE PESAJE, MEDICION Y",CORTE
502,SERVICIOS DE PUBLICIDAD," "
503,SERVICIOS LEGALES," "
504,ALQUILERES Y RELACIONADOS,AL LOCAL COMERCIAL
AAQ,ADHESIVO PARA ANCLAJE QUIMICO,PARA PERFORACIONES EN HORMIGON
AAS,AIRE ACONDICIONADO TIPO SPLIT," "
AB,ABRAZADERA TIPO ANILLO PARA,TUBO O MANGUERA CON TORNILLO
AB1,ABRAZADERA TIPO ANILLO PARA,TUBO O MANGUERA INDUSTRIAL
AB3,ABRAZADERA PARA TUBO RIGIDO,TIPO TRI-CLAMP
ABA,ABRAZADERA GRAPA PARA TUBO A,CHANNEL O STRUT
ABD,ADAPTADOR O CONECTOR DESDE,BAJANTE A DESAGUE
ABL,ABRELATAS ELECTRICO O,INALAMBRICO
ABO,ABOCINADOR PARA TUBOS," "
ABR,ABRELATAS MANUAL," "
AC1,ACCESORIOS PARA HIDROLAVADORAS," "
ACA,ACCESORIO GANCHO PARA ESPETO," "
ACB,JUEGO DE ACCESORIOS PARA BAÑO," "
ACC,ACCESORIOS ASAR CHUZOS," "
ACE,ACEITERO MANUAL," "
ACH,ACELERANTE DE FRAGUADO PARA,HORMIGON
ACL,ALAMBRE PARA CERCO ELECTRICO," "
ACM,ACOPLE PARA HERRAMIENTAS,DE SOBREPONER O ENCAJAR
ACP,ACCESORIOS ASAR POLLO ENTERO," "
ACS,ALAMBRE DE COBRE PARA SOLDAR," "
ACT,ACETATO EN LAMINA," "
ACV,ACTIVADOR ACELERADOR PARA,FIJACION QUIMICA
ADA,ARRANCADOR DIRECTO PARA MOTOR," "
ADB,ARRANCADOR DE BATERIA," "
ADC,ANILLO DE CERA PARA INODORO," "
ADP,ALAMBRE DE PUAS," "
ADS,ABSORVEDOR O CHUPA SUELDA," "
AEP,ADHESIVO EPOXICO ESTRUCTURAL,PARA CONCRETO
AER,AEROGRAFO," "
AFC,ADAPTADOR FLEX O RIEGO MOVIL A,CAMLOCK O CONEXION RAPIDA
AFL,ARRANCADOR O ARRANQUE PARA,TUBOS FLUORESCENTES
AGA,AGREGADOS FINOS (PIEDRA FINA)," "
AGB,AGREGADOS GRUESO (PIEDRA,GRUESA)
AGE,AGENDA," "
AGL,ALAMBRE GALVANIZADO," "
AGP,ALAMBRE PLASTIFICADO," "
AHV,ALMOHADA PARA VIAJE," "
AIA,ADHESIVO INSTANTANEO ANAEROBIC,TRABA ROSCAS PARA METAL
AIB,ASIENTO PARA INODORO CON BIDET," "
AIC,ADHESIVO INSTANTANEO GENERAL,BASE CIANOACRILATO
AII,ASIENTO PARA INODORO SMART," "
AIO,COMPUTADOR DE ESCRITORIO AIO,(ALL IN ONE)
AIS,ASIENTO PARA INODORO," "
AL1,ADAPTADOR DE LIMPIEZA PVC PARA,DESAGUE
AL2,ADAPTADOR DE LIMPIEZA PVC PARA,PRESION
ALA,ALICATE PARA ANILLO  RETENCION," "
ALB,ALICATE ARTICULADO O PICO LORO," "
ALC,ALICATE DE CORTE DIAGONAL," "
ALD,ALICATE DE COMBINACION O PLAYO," "
ALE,ALICATE DE ELECTRICISTA," "
ALF,ALICATE DE PRESION CURVO," "
ALG,ALICATE DE PRESION RECTO," "
ALH,ALICATE TIPO NAVAJA ALL IN ONE," "
ALI,ALICATE PELA CABLE," "
ALJ,ALICATE PUNTA FINA LARGA," "
ALK,ALICATE MULTIUSO PELACABLE," "
ALL,ALICATE CORTE FRONTAL," "
ALM,ALICATE DE PRESION PUNTA FINA," "
ALN,LLAVE ALLEN O LLAVE HEXAGONAL," "
ALO,ALICATE MULTIUSO TODO EN UNO,TIPO NAVAJA O LLAVERO
ALP,ALICATE DE PRESION TIPO C," "
